  PERMNO        date            mcd        vwretd        ewretd        sprtrn
   43449    19860829      -0.017578      0.066181      0.023269      0.071193
   43449    19860930      -0.099404     -0.079021     -0.059071     -0.085439
   43449    19861031       0.115497      0.049303      0.023777      0.054729
   43449    19861128       0.005952      0.015093     -0.006263      0.021477
   43449    19861231      -0.039448     -0.026388     -0.034609     -0.028288
   43449    19870130       0.148501      0.128496      0.117565      0.131767
   43449    19870227       0.093190      0.047918      0.074612      0.036924
   43449    19870331       0.039344      0.023664      0.036283      0.026390
   43449    19870430       0.009464     -0.017001     -0.017709     -0.011450
   43449    19870529      -0.013281      0.005125      0.000573      0.006034
   43449    19870630       0.009524      0.043662      0.021487      0.047915
   43449    19870731       0.049528      0.044248      0.035123      0.048224
   43449    19870831       0.049550      0.037146      0.014544      0.034959
   43449    19870930      -0.072961     -0.020774     -0.015876     -0.024166
   43449    19871030      -0.155093     -0.225363     -0.272248     -0.217630
   43449    19871130      -0.093407     -0.072273     -0.050850     -0.085349
   43449    19871231       0.066667      0.070327      0.026065      0.072861
   43449    19880129       0.031250      0.044880      0.077392      0.040432
   43449    19880229       0.049724      0.051695      0.060265      0.041817
   43449    19880331      -0.084211     -0.016598      0.035690     -0.033343
   43449    19880429      -0.008621      0.010991      0.014016      0.009425
   43449    19880531       0.023536      0.000448     -0.017671      0.003176
   43449    19880630       0.048295      0.051460      0.047677      0.043256
   43449    19880729      -0.024390     -0.007272      0.000289     -0.005411
   43449    19880831      -0.030222     -0.028006     -0.025001     -0.038600
   43449    19880930       0.091954      0.037202      0.016951      0.039729
   43449    19881031       0.002632      0.017637     -0.011485      0.025964
   43449    19881130      -0.015433     -0.016412     -0.036484     -0.018891
   43449    19881230       0.029887      0.021075      0.018872      0.014688
   43449    19890131       0.080519      0.066103      0.062124      0.071115
   43449    19890228      -0.026154     -0.016446      0.002988     -0.028944
   43449    19890331       0.017327      0.021465      0.018060      0.020806
   43449    19890428       0.070560      0.048204      0.029089      0.050090
   43449    19890531       0.086909      0.039338      0.025054      0.035138
   43449    19890630      -0.018868     -0.004866     -0.007744     -0.007925
   43449    19890731       0.064103      0.077131      0.031017      0.088370
   43449    19890831      -0.069799      0.022127      0.018626      0.015517
   43449    19890929       0.030303     -0.001474      0.005532     -0.006544
   43449    19891031       0.042017     -0.029281     -0.049934     -0.025175
   43449    19891130       0.062984      0.017815     -0.005800      0.016541
   43449    19891229       0.049430      0.018295     -0.012375      0.021417
   43449    19900131      -0.054348     -0.070115     -0.046408     -0.068817
   43449    19900228      -0.032107      0.014901      0.015434      0.008539
   43449    19900330       0.007937      0.024140      0.021315      0.024255
   43449    19900430      -0.047244     -0.028286     -0.028117     -0.026887
   43449    19900531       0.147438      0.088936      0.045675      0.091989
   43449    19900629       0.025271     -0.004196      0.005359     -0.008886
   43449    19900731      -0.116197     -0.009405     -0.025732     -0.005223
   43449    19900831      -0.108845     -0.091896     -0.108911     -0.094314
   43449    19900928      -0.067265     -0.053843     -0.080468     -0.051184
   43449    19901031      -0.028846     -0.012504     -0.057155     -0.006698
   43449    19901130       0.117228      0.065744      0.035468      0.059934
   43449    19901231       0.035556      0.029513     -0.004526      0.024828
   43449    19910131      -0.021459      0.049078      0.084175      0.041518
   43449    19910228       0.109649      0.075847      0.133898      0.067281
   43449    19910328       0.101502      0.028923      0.078293      0.022203
   43449    19910430      -0.035971      0.003322      0.031962      0.000346
   43449    19910531       0.047537      0.040732      0.031385      0.038577
   43449    19910628      -0.060714     -0.044029     -0.031773     -0.047893
   43449    19910731      -0.003802      0.046795      0.034202      0.044859
   43449    19910830      -0.000992      0.026819      0.027507      0.019649
   43449    19910930       0.072797     -0.010975      0.008130     -0.019144
   43449    19911031      -0.007143      0.017789      0.024639      0.011860
   43449    19911129      -0.029712     -0.037275     -0.023735     -0.043928
   43449    19911231       0.130112      0.106778      0.035353      0.111588
   43449    19920131       0.144737     -0.001182      0.149970     -0.019900
   43449    19920228      -0.066839      0.013354      0.052124      0.009565
   43449    19920331      -0.015432     -0.023700     -0.014169     -0.021832
   43449    19920430       0.112853      0.013419     -0.033262      0.027893
   43449    19920529       0.058592      0.006439      0.005678      0.000964
   43449    19920630      -0.018667     -0.019287     -0.039215     -0.017359
   43449    19920731      -0.046196      0.039900      0.027617      0.039374
   43449    19920831      -0.029060     -0.020820     -0.023900     -0.023998
   43449    19920930       0.044118      0.012447      0.011050      0.009106
   43449    19921030       0.033803      0.010986      0.016224      0.002106
   43449    19921130       0.070300      0.040193      0.066686      0.030262
   43449    19921231      -0.005102      0.017768      0.035677      0.010108
   43449    19930129      -0.002564      0.012643      0.067612      0.007046
   43449    19930226       0.043188      0.005402     -0.007198      0.010484
   43449    19930331       0.044444      0.025116      0.031465      0.018697
   43449    19930430      -0.089835     -0.025400     -0.011112     -0.025417
   43449    19930528       0.033766      0.029598      0.038740      0.022717
   43449    19930630      -0.010402      0.005440      0.013419      0.000755
   43449    19930730       0.048346     -0.000795      0.013719     -0.005327
   43449    19930831       0.045777      0.039479      0.039698      0.034432
   43449    19930930      -0.034884      0.000641      0.025507     -0.009988
   43449    19931029       0.110843      0.018064      0.040518      0.019393
   43449    19931130       0.019219     -0.017606     -0.024467     -0.012911
   43449    19931231      -0.027719      0.019513      0.016190      0.010091
   43449    19940131       0.065789      0.031466      0.049166      0.032501
   43449    19940228      -0.000288     -0.024224     -0.009952     -0.030045
   43449    19940331      -0.061856     -0.045795     -0.045962     -0.045746
   43449    19940429       0.054945      0.009478     -0.011728      0.011531
   43449    19940531       0.033333      0.009360     -0.000831      0.012419
   43449    19940630      -0.066613     -0.027909     -0.028182     -0.026812
   43449    19940729      -0.060606      0.030633      0.015778      0.031467
   43449    19940831       0.043687      0.042597      0.036756      0.037643
   43449    19940930      -0.066372     -0.018363      0.004865     -0.026898
   43449    19941031       0.094787      0.014520     -0.003305      0.020834
   43449    19941130      -0.015238     -0.037219     -0.040741     -0.039505
   43449    19941230       0.030837      0.012609     -0.013424      0.012299
   43449    19950131       0.115385      0.020399      0.027860      0.024278
   43449    19950228       0.020996      0.039615      0.028369      0.036074
   43449    19950331       0.026316      0.027041      0.019518      0.027329
   43449    19950428       0.025641      0.025048      0.026976      0.027960
   43449    19950531       0.084071      0.034007      0.020270      0.036312
   43449    19950630       0.033003      0.031173      0.049917      0.021279
   43449    19950731      -0.012780      0.040783      0.054708      0.031776
   43449    19950831      -0.053269      0.009305      0.032043     -0.000320
   43449    19950929       0.047945      0.036362      0.026400      0.040098
   43449    19951031       0.071895     -0.011317     -0.041473     -0.004979
   43449    19951130       0.090061      0.042708      0.016659      0.041049
